date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:21	23/23	---M--	200	added ('OK')	text/plain	date:Fri,%2026%20May%202017%2015:51:55%20GMT	http://pchapmanconstruction.com/robots.txt		(from )
16:31:22	61004/61004	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:21%20GMT	http://pchapmanconstruction.com/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/index.html	(from )
16:31:23	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/dell/Desktop/barath/con8/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from http://pchapmanconstruction.com/)
16:31:23	103449/103449	---M-Z	200	added ('OK')	application/javascript	etag:%220ac913d0d7d81:0%22	https://consent.cookiebot.com/uc.js	C:/Users/dell/Desktop/barath/con8/consent.cookiebot.com/uc.js	(from http://pchapmanconstruction.com/)
16:31:25	671161/671161	---M--	200	added ('OK')	text/css	date:Tue,%2023%20May%202017%2010:49:06%20GMT	http://pchapmanconstruction.com/themes/chapman3/css/css-base.css	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/themes/chapman3/css/css-base.css	(from http://pchapmanconstruction.com/)
16:31:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Oct%202022%2011:01:24%20GMT	http://pchapmanconstruction.com/home/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/home/index.html	(from http://pchapmanconstruction.com/)
16:31:28	36851/36851	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:26%20GMT	http://pchapmanconstruction.com/cornwall-builders/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/cornwall-builders/index.html	(from http://pchapmanconstruction.com/)
16:31:28	41792/41792	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:26%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/index.html	(from http://pchapmanconstruction.com/)
16:31:29	34095/34095	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:28%20GMT	http://pchapmanconstruction.com/videos/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/videos/index.html	(from http://pchapmanconstruction.com/)
16:31:29	22155/22155	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:28%20GMT	http://pchapmanconstruction.com/cornwall-construction-jobs/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/cornwall-construction-jobs/index.html	(from http://pchapmanconstruction.com/)
16:31:30	16572/16572	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Feb%202021%2007:13:10%20GMT	http://pchapmanconstruction.com/assets/Uploads/pc-chapman-limited-short06.png	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/assets/Uploads/pc-chapman-limited-short06.png	(from http://pchapmanconstruction.com/)
16:31:31	26289/26289	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:29%20GMT	http://pchapmanconstruction.com/contact-builders-truro-cornwall/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/contact-builders-truro-cornwall/index.html	(from http://pchapmanconstruction.com/)
16:31:31	41241/41241	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:29%20GMT	http://pchapmanconstruction.com/construction-news/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-news/index.html	(from http://pchapmanconstruction.com/)
16:31:31	53333/53333	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:31%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/boskensoe-barns-mawnan-smith-falmouth/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/boskensoe-barns-mawnan-smith-falmouth/index.html	(from http://pchapmanconstruction.com/)
16:31:32	34905/34905	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:31%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/upper-beach-house-portreath/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/upper-beach-house-portreath/index.html	(from http://pchapmanconstruction.com/)
16:31:34	43450/43450	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:32%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/trewithen/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/trewithen/index.html	(from http://pchapmanconstruction.com/)
16:31:38	45325/45325	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20May%202022%2009:51:09%20GMT	http://pchapmanconstruction.com/assets/Managed/ProjectGalleries/135-upper-beach-house-portreath/_resampled/FillWyI5MDAiLCI2NTAiXQ/IMG-1954-01.jpeg	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/assets/Managed/ProjectGalleries/135-upper-beach-house-portreath/_resampled/FillWyI5MDAiLCI2NTAiXQ/IMG-1954-01.jpg	(from http://pchapmanconstruction.com/)
16:31:39	66068/66068	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:38%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/three-mile-beach-gwithian/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/three-mile-beach-gwithian/index.html	(from http://pchapmanconstruction.com/)
16:31:40	80219/80219	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Oct%202020%2008:22:13%20GMT	http://pchapmanconstruction.com/assets/Managed/ProjectGalleries/92-boskensoe-barns-mawnan-smith-falmouth/_resampled/FillWyI5MDAiLCI2NTAiXQ/boskensoe-01.jpg	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/assets/Managed/ProjectGalleries/92-boskensoe-barns-mawnan-smith-falmouth/_resampled/FillWyI5MDAiLCI2NTAiXQ/boskensoe-01.jpg	(from http://pchapmanconstruction.com/)
16:31:41	59944/59944	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:40%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/menwinnion-mylor/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/menwinnion-mylor/index.html	(from http://pchapmanconstruction.com/)
16:31:44	79518/79518	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2012:39:29%20GMT	http://pchapmanconstruction.com/assets/Managed/ProjectGalleries/128-new-project-page/_resampled/FillWyI5MDAiLCI2NTAiXQ/IMG-1627-01.jpeg	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/assets/Managed/ProjectGalleries/128-new-project-page/_resampled/FillWyI5MDAiLCI2NTAiXQ/IMG-1627-01.jpg	(from http://pchapmanconstruction.com/)
16:31:46	41509/41509	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:45%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/new-morvoren-feock/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/new-morvoren-feock/index.html	(from http://pchapmanconstruction.com/)
16:31:48	84943/84943	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Nov%202021%2010:52:58%20GMT	http://pchapmanconstruction.com/assets/Managed/ProjectGalleries/127-three-mile-beach-gwithian/_resampled/FillWyI5MDAiLCI2NTAiXQ/Three-Mile-Beach-Aerials-Sunny-17-SMALL.jpg	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/assets/Managed/ProjectGalleries/127-three-mile-beach-gwithian/_resampled/FillWyI5MDAiLCI2NTAiXQ/Three-Mile-Beach-Aerials-Sunny-17-SMALL.jpg	(from http://pchapmanconstruction.com/)
16:31:50	41403/41403	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2011:01:48%20GMT	http://pchapmanconstruction.com/construction-projects-south-west-builders/chy-an-albany-st-ives/	C:/Users/dell/Desktop/barath/con8/pchapmanconstruction.com/construction-projects-south-west-builders/chy-an-albany-st-ives/index.html	(from http://pchapmanconstruction.com/)
